split,total,function,gradient
0.1,5.955887554089228,0.5621186713377635,5.3937688827514645
0.2,0.3607888221119841,0.057371665723621845,0.30341715638836225
0.3,0.07594056372116838,0.01386558819665677,0.062074975524511605
0.1,5.577075719833374,0.5585399568080902,4.989558696746826
0.2,0.3420260036364198,0.05480128899216652,0.2936296910047531
0.3,0.0657705357298255,0.010086370632052422,0.053755417466163635
0.1,3.1726728081703186,0.37489834427833557,2.730963706970215
0.2,0.1572275198996067,0.023310191929340363,0.11248935014009476
0.3,0.030488183721899986,0.004443761892616749,0.02149512991309166
0.1,11.287364482879639,1.0306391716003418,10.256725311279297
0.2,0.7592328190803528,0.12345457077026367,0.6647451519966125
0.3,0.22749625891447067,0.0680026039481163,0.2020861804485321
