split,total,function,gradient
0.1,4712.009940301978,0.08343722580522296,4711.926503076172
0.2,4937.079266934598,0.36830626565217967,4936.710960668945
0.3,7166.321244945478,1.0128719881216681,7165.308372957355
0.4,7212.652291284657,1.8797146733283998,7210.772576611328
0.5,4421.460036572582,1.467334946603773,4419.992701625976
0.6,6359.028468534368,2.5245004109938938,6356.503968123372
0.7,5479.63471631537,2.2872335098470957,5477.3474828055205
0.8,5501.830672456938,2.1825478231489672,5499.648124633786
0.9,5496.005490764605,2.177803204923207,5493.82768755968
0.95,5101.709890055371,2.268109036658939,5099.44178101871
0.1,3096.5363976678623,0.06811646968126298,3096.470678710937
0.2,3407.196164765358,0.2721376049518585,3406.95421875
0.3,4946.14185571909,0.8516930961608886,4945.071044921875
0.4,3310.784813604355,1.6180961322784424,3309.2660449218747
0.5,2730.1134207868577,1.2479767894744873,2728.0434326171876
0.6,2945.1359032917026,2.2340126514434813,2943.6825585937504
0.7,3011.5463825130464,1.9841516828536987,3008.1023046875
0.8,2794.548039364815,1.8341368961334228,2792.9363818359375
0.9,2821.991863489151,1.9093349361419678,2819.901416015625
0.95,2880.5592831611634,1.9866551780700683,2879.22125
0.1,672.3171152466535,0.018710807412862778,672.2488500976563
0.2,619.4481713300943,0.10451931655406951,619.283916015625
0.3,546.3548991966247,0.3048582625389099,543.8167669677734
0.4,1097.2899647808076,0.4369204020500183,1095.650244140625
0.5,754.9911767697334,0.2906084680557251,754.6469396972657
0.6,697.284931716919,0.7126611852645874,692.4311303710938
0.7,938.7373568058015,0.40343055963516233,936.3178588867188
0.8,1004.1431467723846,0.2595300984382629,1003.2221484375
0.9,942.3164496231079,0.37533586263656615,940.7038256835938
0.95,997.9601783943176,0.32907458662986755,995.3279663085938
0.1,13814.314011612534,0.2599106478691101,13814.230390625
0.2,23472.21807405949,1.6669790649414062,23471.95859375
0.3,31373.34712260246,2.990342044830322,31372.54125
0.4,91619.82790882111,6.279158821105957,91613.54875
0.5,18841.472603514194,5.047707214355468,18840.89796875
0.6,69227.2930192566,8.817395286560059,69221.83375
0.7,38981.37075843811,8.662624893188477,38979.5690625
0.8,50252.21725658416,9.12504550933838,50250.4965625
0.9,38576.19975980759,10.539572219848633,38573.1746875
0.95,33412.5899353981,9.607452430725097,33408.658125
