file,loss,W loss,P loss
30,205.06814575195312,177.28375244140625,27.784385681152344
63,14.347576141357422,4.001491546630859,10.346083641052246
59,18.334243774414062,6.899820327758789,11.434423446655273
93,27.696252822875977,15.40782356262207,12.288427352905273
97,22.9876651763916,11.573919296264648,11.413744926452637
98,36.53150939941406,16.412294387817383,20.119216918945312
57,117.91879272460938,93.34242248535156,24.57636260986328
33,15.263352394104004,4.529310703277588,10.734040260314941
78,24.421110153198242,7.20166015625,17.219449996948242
23,16.230398178100586,4.816965103149414,11.413433074951172
8,17.218351364135742,6.673679351806641,10.544672966003418
14,84.359375,61.10557174682617,23.253803253173828
39,111.1748275756836,87.37870788574219,23.796110153198242
27,16.9091739654541,4.4576191902160645,12.451555252075195
92,29.526077270507812,16.006366729736328,13.5197114944458
44,277.7573547363281,247.7398223876953,30.017480850219727
22,19.922937393188477,5.060039043426514,14.862900733947754
20,20.031858444213867,4.708584308624268,15.323273658752441
100,28.355693817138672,11.241233825683594,17.114459991455078
49,30.808076858520508,14.557197570800781,16.250877380371094
7,18.0770320892334,5.512507438659668,12.564525604248047
62,46.64332962036133,26.017221450805664,20.626108169555664
58,166.31578063964844,139.2247772216797,27.091001510620117
26,34.68983459472656,17.302682876586914,17.38715171813965
86,24.88152313232422,13.503832817077637,11.377690315246582
72,23.557329177856445,10.3444185256958,13.212909698486328
77,22.2628231048584,4.678500652313232,17.584321975708008
21,73.82368469238281,49.90717697143555,23.916513442993164
2,54.97820281982422,32.851009368896484,22.127195358276367
36,179.87303161621094,152.41836547851562,27.45465850830078
5,442.99395751953125,409.8698425292969,33.12409973144531
87,20.768857955932617,5.06282901763916,15.706029891967773
35,234.4362335205078,205.4151153564453,29.021099090576172
75,47.515220642089844,28.112520217895508,19.4027042388916
46,16.35232162475586,4.338513374328613,12.013808250427246
85,19.689712524414062,3.1750571727752686,16.5146541595459
89,20.447965621948242,9.303417205810547,11.144549369812012
83,20.240100860595703,4.77114200592041,15.468957901000977
10,663.363037109375,626.8377685546875,36.5252799987793
41,12.213833808898926,3.981020450592041,8.232813835144043
61,34.08598327636719,16.89447021484375,17.191513061523438
76,32.739898681640625,12.352100372314453,20.387794494628906
25,20.920944213867188,3.433475971221924,17.487468719482422
69,21.749902725219727,3.3774635791778564,18.372438430786133
90,112.55799865722656,87.17985534667969,25.378145217895508
19,13.672377586364746,5.40066385269165,8.27171516418457
24,20.217002868652344,6.347115516662598,13.869885444641113
31,19.089521408081055,5.054561138153076,14.034960746765137
64,19.91332244873047,4.419216156005859,15.494105339050293
73,16.554550170898438,4.5825276374816895,11.972023963928223
68,15.878296852111816,4.341569900512695,11.536725997924805
67,12.611281394958496,4.549159526824951,8.062122344970703
74,45.93177795410156,26.891063690185547,19.040712356567383
29,20.377212524414062,3.958369731903076,16.418842315673828
95,599.1278686523438,563.1910400390625,35.93685531616211
18,27.652597427368164,12.710626602172852,14.941969871520996
6,36.60749053955078,15.095932960510254,21.511558532714844
13,37.8932991027832,17.596113204956055,20.297189712524414
60,12.767539978027344,4.029731273651123,8.737809181213379
34,17.259695053100586,4.582986354827881,12.676709175109863
53,24.66830825805664,12.812841415405273,11.85546588897705
55,18.232440948486328,5.555412769317627,12.677027702331543
37,19.086790084838867,4.02889347076416,15.057897567749023
84,152.00396728515625,125.18865203857422,26.815326690673828
94,25.859447479248047,8.443846702575684,17.415603637695312
4,33.87455749511719,20.091276168823242,13.783278465270996
3,28.20391845703125,9.572172164916992,18.631746292114258
48,23.153470993041992,12.441296577453613,10.712176322937012
43,73.583984375,50.19039535522461,23.393590927124023
56,43.63945770263672,21.154335021972656,22.485124588012695
71,58.151939392089844,35.38938903808594,22.762554168701172
54,15.645869255065918,6.712718963623047,8.933149337768555
40,20.54131507873535,5.464555740356445,15.076760292053223
51,432.0561828613281,399.47222900390625,32.58393859863281
52,26.163820266723633,8.749109268188477,17.41471290588379
50,199.77804565429688,171.67723083496094,28.100814819335938
12,25.808021545410156,13.95693588256836,11.85108757019043
82,20.19443130493164,8.563304901123047,11.631126403808594
66,30.564321517944336,10.317591667175293,20.246728897094727
70,123.56299591064453,99.14981079101562,24.413188934326172
